in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,abs_nm
indium myristate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,8,None,0,None,0,None,0,dodecanethiol,0.05,zinc stearate,0.1,None,0,8.012,300,30,436
indium chloride,10,sodium phosphide,10,4-ethylpyridine,50,trioctylphosphine,44.84190017,None,0,None,0,None,0,None,0,None,0,70,130,2880,587
indium chloride,10,sodium phosphide,11.3,dimethylformamide,90,None,0,None,0,None,0,None,0,None,0,None,0,90,160,120,465
"indium tris(N,N-diisopropylacetamidinato) ",0.9,tris(trimethylsilyl)phosphine,0.15,mesitylene,5,None,0,palmitic acid,0.3,hexadecylamine,0.3,None,0,None,0,None,0,5.077,150,1260,523
"indium tris(N,N-diisopropylacetamidinato) ",0.9,tris(trimethylsilyl)phosphine,0.15,mesitylene,5,None,0,palmitic acid,0.3,hexadecylamine,0.3,None,0,None,0,None,0,5.077,230,1260,584
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,water,1.2,5.002,180,15,481
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,None,0,5.002,180,15,547
indium iodide,0.45,tris(diethylamino)phosphine,1.62,None,0,None,0,None,0,oleylamine,15,None,0,zinc chloride,2.2,None,0,4.936,180,30,509
indium bromide,0.45,tris(diethylamino)phosphine,1.62,None,0,None,0,None,0,oleylamine,15,None,0,zinc chloride,2.2,None,0,4.936,180,30,562
indium chloride,0.45,tris(diethylamino)phosphine,1.62,None,0,None,0,None,0,oleylamine,15,None,0,zinc chloride,2.2,None,0,4.936,180,30,570
indium chloride,0.3,tris(dimethylamino)phosphine,1.2,None,0,None,0,None,0,oleylamine,4.3,None,0,zinc chloride,0.3,trioctylamine,4.3,1.415,220,0.5,492
indium chloride,0.3,tris(dimethylamino)phosphine,1.2,None,0,None,0,None,0,oleylamine,4.3,None,0,zinc chloride,0.3,trioctylamine,4.3,1.415,220,0.5,611
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,None,0,None,0,5.002,220,1,571
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,None,0,None,0,5.002,220,30,602
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,0.9,None,0,5.002,220,1,537
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,1.32,None,0,5.002,220,1,532
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,None,0,5.002,180,1,461
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,water,1.2,5.002,180,1,438
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,None,0,5.002,180,3,496
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,water,1.2,5.002,180,3,460
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,0.9,None,0,5.002,220,30,572
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,1.32,None,0,5.002,220,30,575
indium chloride,1.8,tris(dimethylamino)phosphine,3.84,None,0,trioctylphosphine,2.914723511,None,0,oleylamine,12,None,0,zinc chloride,4.4,None,0,5.249,180,2,444
indium chloride,0.45,tris(dimethylamino)phosphine,2.48,None,0,None,0,None,0,oleylamine,6.15,None,0,zinc chloride,2.2,None,0,2.024,200,20,553
indium iodide,0.3,white phosphorus,0.299,None,0,None,0,None,0,oleylamine,4.06,None,0,zinc iodide,1.47,None,0,1.336,180,30,430
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,4.06,None,0,zinc chloride,1.47,None,0,1.336,150,30,492
