in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,emission_nm
indium myristate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,8,None,0,None,0,None,0,dodecanethiol,0.05,zinc stearate,0.1,None,0,8.012,300,30,481
indium chloride,10,sodium phosphide,11.3,dimethylformamide,90,None,0,None,0,None,0,None,0,None,0,None,0,90,160,120,550
indium chloride,0.45,tris(dimethylamino)phosphine,2.48,None,0,None,0,None,0,oleylamine,6.15,None,0,zinc chloride,2.2,None,0,2.024,200,20,592
indium iodide,0.3,white phosphorus,0.299,None,0,None,0,None,0,oleylamine,4.06,None,0,zinc iodide,1.47,None,0,1.336,180,30,482
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,4.06,None,0,zinc chloride,1.47,None,0,1.336,150,30,529
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,4.06,None,0,zinc chloride,1.47,None,0,1.336,180,30,555
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,0.8,None,0,zinc chloride,1.47,None,0,0.264,180,30,595
indium chloride,0.3,white phosphorus,0.45,None,0,None,0,None,0,oleylamine,0.8,None,0,zinc chloride,1.47,None,0,0.264,210,30,635
indium chloride,0.45,tris(dimethylamino)phosphine,1.926,None,0,None,0,None,0,oleylamine,7.4,None,0,zinc iodide,2.2,None,0,2.435,170,10,518
indium chloride,0.45,tris(dimethylamino)phosphine,1.926,None,0,None,0,None,0,oleylamine,7.4,None,0,zinc chloride,2.2,None,0,2.435,170,10,628
indium chloride,0.45,tris(dimethylamino)phosphine,1.93,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,copper bromide,0.45,5.002,200,60,422
indium chloride,0.45,tris(dimethylamino)phosphine,1.93,None,0,None,0,None,0,oleylamine,15.2,None,0,zinc chloride,2.2,None,0,5.002,200,60,625
indium chloride,0.5,tris(dimethylamino)phosphine,2.75,None,0,None,0,None,0,oleylamine,6.15,None,0,zinc chloride,1.5,zinc iodide,0.5,2.024,180,30,560
indium acetate,1,tris(trimethylsilyl)phosphine,1,None,0,None,0,None,0,None,0,dodecanethiol,0.5,zinc stearate,2,None,0,0.12,300,30,480
indium chloride,0.23,tris(diethylamino)phosphine,0.8,None,0,None,0,None,0,oleylamine,7.5,None,0,zinc chloride,1.1,None,0,2.468,180,20,618
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,None,0,zinc iodide,2.2,None,0,10.858,150,30,502
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,None,0,zinc iodide,2.2,None,0,4.936,180,30,507
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,None,0,zinc bromide,2.2,None,0,4.936,180,30,531
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,None,0,zinc bromide,2.2,None,0,10.858,150,30,538
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,None,0,zinc chloride,2.2,None,0,10.858,150,30,606
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,None,0,zinc chloride,2.2,None,0,4.936,180,30,607
indium iodide,0.3,tris(dimethylamino)phosphine,0.66,None,0,None,0,None,0,oleylamine,6,None,0,zinc chloride,0.73,None,0,1.975,180,2,530
