in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm
indium myristate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,8,None,0,None,0,dodecanethiol,0.05,zinc stearate,0.1,None,0,8.012,300,30,2.3,436,481
indium chloride,1.81,tris(dimethylamino)phosphine,2.75,toluene,5,None,0,None,0,dodecylamine,27,None,0,None,0,11.198,180,1440,2.3,512,None
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,trioctylphosphine,6.016847172,trioctylphosphine oxide,5.555555556,None,0,None,0,None,0,None,0,11.573,270,4320,2.52,520,None
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,trioctylphosphine,10.95066185,trioctylphosphine oxide,1.011111111,None,0,None,0,None,0,None,0,11.962,250,4320,2.6,517,600
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,0.52,trioctylphosphine,6.016847172,trioctylphosphine oxide,5.555555556,None,0,None,0,None,0,None,0,11.573,270,4320,2.6,530,None
chloroindium oxalate,1.05,tris(trimethylsilyl)phosphine,1.4,trioctylphosphine oxide,0.222222222,None,0,None,0,None,0,None,0,None,0,0.223,270,4320,2.61,610,None
chloroindium oxalate,0.88,tris(trimethylsilyl)phosphine,1.4,trioctylphosphine,6.016847172,trioctylphosphine oxide,5.555555556,None,0,None,0,None,0,None,0,11.573,270,8640,2.66,590,None
indium acetate,0.7,tris(trimethylsilyl)phosphine,0.35,octadecene,40,None,0,palmitic acid,2.1,None,0,None,0,None,0,40,270,180,2.7,532,591
indium myristate,0.3,tris(trimethylsilyl)phosphine,0.15,octadecene,4,trioctylphosphine,1,None,0,None,0,None,0,None,0,5,210,20,2.7,551,612
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,trioctylphosphine,10.95066185,trioctylphosphine oxide,1.011111111,None,0,None,0,None,0,None,0,11.962,260,4320,3,577,646
indium chloride,1.81,tris(dimethylamino)phosphine,2.75,toluene,5,None,0,None,0,dodecylamine,27,None,0,None,0,11.198,180,1440,3.2,599,590
indium acetate,0.5,phosphorus trichloride,0.5,octadecene,34,None,0,stearic acid,1.5,dioctyl ether,3,None,0,None,0,34.901,250,240,3.5,562,618
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,trioctylphosphine,10.95066185,trioctylphosphine oxide,1.011111111,None,0,None,0,None,0,None,0,11.962,270,4320,3.5,590,677
chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,trioctylphosphine,2.406738869,trioctylphosphine oxide,0.222222222,None,0,None,0,None,0,None,0,2.629,270,4320,3.5,595,None
indium myristate,0.3,tris(trimethylgermyl)phosphine,0.15,octadecene,4,trioctylphosphine,1,None,0,None,0,None,0,None,0,5,210,20,3.6,578,641
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,6.752,180,10,3.7,580,588
indium acetate,1,tris(trimethylsilyl)phosphine,0.499,octadecene,75,None,0,myristic acid,3,None,0,None,0,None,0,75,270,180,4,585,630
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,trioctylphosphine,10.95066185,trioctylphosphine oxide,1.011111111,None,0,None,0,None,0,None,0,11.962,280,4320,4.2,626,729
chloroindium oxalate,1.76,tris(trimethylsilyl)phosphine,1.04,trioctylphosphine,2.406738869,trioctylphosphine oxide,0.222222222,None,0,None,0,None,0,None,0,2.629,300,4320,4.6,685,None
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,trioctylphosphine,10.95066185,trioctylphosphine oxide,1.011111111,None,0,None,0,None,0,None,0,11.962,290,4320,4.8,689,765
indium chloride,10,sodium phosphide,10,4-ethylpyridine,50,trioctylphosphine,20,None,0,None,0,None,0,None,0,70,130,2880,5,587,None
indium oxalate,2.33,tris(trimethylsilyl)phosphine,3,trioctylphosphine,10.95066185,trioctylphosphine oxide,1.011111111,None,0,None,0,None,0,None,0,11.962,300,4320,6,729,775
indium trifluoroacetate,0.11,tris(trimethylsilyl)phosphine,0.1,octadecene,7,None,0,myristic acid,0.3,None,0,None,0,None,0,7,270,240,8.3,532,590
indium chloride,10,sodium phosphide,11.3,dimethylformamide,90,None,0,None,0,None,0,None,0,None,0,90,160,120,None,465,550
indium laurate,0.5,tris(trimethylsilyl)phosphine,0.25,octadecene,44,None,0,None,0,None,0,None,0,None,0,44,245,5,None,499,552
