,Unnamed: 0,Unnamed: 0.1,in_amount_mmol,p_amount_mmol,sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium laurate,x0_indium myristate,x0_indium oxalate,x0_indium paltimate,x0_indium stearate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_4-ethylpyridine,x2_None,x2_dimethylformamide,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc bromide,x7_zinc chloride,x7_zinc iodide,x7_zinc octanoate,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_acetic acid,x8_copper bromide,x8_dioctyl ether,x8_oleic acid,x8_tetrabutylammonium myristate,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm,abs_nm,emission_nm
0,0,0,-0.5873781530886123,-0.6223615420978491,-0.1988639514012331,-0.2860024936341677,-0.4205770953851399,-0.5964936475153945,0.3780537524419144,-0.4984604228573468,-0.2544940876711947,-0.3196873282351509,1.5005660862829406,-0.2637505956978712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,436.0,481
1,1,1,7.94655624829547,6.875235879844896,2.139673449581616,7.645704130522718,-0.4205770953851399,-0.5964936475153945,-0.1855900239260307,-0.5810114286624547,-0.2544940876711947,3.1281469845920955,-1.9023770148695225,2.351482423953303,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,587.0,566.0
2,2,2,7.94655624829547,7.859768874645459,4.36685192670814,-0.2860024936341677,-0.4205770953851399,-0.5964936475153945,-0.1855900239260307,-0.5810114286624547,-0.2544940876711947,4.240566908715231,-1.3018576440779113,-0.1811642898141499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,465.0,550
3,3,3,0.1022327076292933,-0.5844948884516735,-0.3659023371857223,-0.2860024936341677,-0.3052271662207092,-0.5529000693307498,-0.1855900239260307,-0.5810114286624547,-0.2544940876711947,-0.4829349521002211,-1.502030767675115,0.8649289180463196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,523.0,589.5
4,4,4,0.1022327076292933,-0.5844948884516735,-0.3659023371857223,-0.2860024936341677,-0.3052271662207092,-0.5529000693307498,-0.1855900239260307,-0.5810114286624547,-0.2544940876711947,-0.4829349521002211,0.0993542211025146,0.8649289180463196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,584.0,569.0
5,5,5,-0.4149754379091359,-0.6375082035563193,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.6122476471732723,-0.1855900239260307,1.23511069904992,0.8228823298940621,-0.4871065268156828,-0.901511396883504,-0.2775149800118248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.75,481.0,621.5
6,6,6,-0.4149754379091359,-0.6375082035563193,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.6122476471732723,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.4871065268156828,-0.901511396883504,-0.2775149800118248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,547.0,621.5
7,7,7,-0.2856734015245286,0.5287847287458856,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.583185261716843,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.4907775125652892,-0.901511396883504,-0.2637505956978712,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,509.0,607.0
8,8,8,-0.2856734015245286,0.5287847287458856,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,1.583185261716843,-0.1855900239260307,1.23511069904992,-0.2544940876711947,-0.4907775125652892,-0.901511396883504,-0.2637505956978712,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,562.0,607.0
9,9,9,-0.4753163882219526,-0.0922283910513923,-0.6442996468265377,-0.2860024936341677,-0.4205770953851399,0.4933458071007243,-0.1855900239260307,0.3270496351937326,-0.2544940876711947,-0.6280501312020842,-0.901511396883504,-0.2729268519071736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,571.4780625380507,618.0
